id,outage,outage_label,snapshot,snapshot_label,lastUpdateTime,currentEtor,autoEtor,estCustAffected,hazardFlag,latitude,longitude,regionName,regionName_label,cause,cause_label,crewCurrentStatus,crewCurrentStatus_label
1569913215:629455,629455,629455,1,2019-10-01 00:00:15-07:00,1569871755,1569992400,,1,0,40.55785,-124.14553,9,Fortuna,2,Our preliminary determination is that your outage was caused by an equipment issue.,2,PG&E repair crew is on-site working to restore power.
1569913215:629544,629544,629544,1,2019-10-01 00:00:15-07:00,1569904245,1569924000,,31,0,37.25649,-121.94472,26,San Jose,2,Our preliminary determination is that your outage was caused by an equipment issue.,2,PG&E repair crew is on-site working to restore power.
1569913215:629993,629993,629993,1,2019-10-01 00:00:15-07:00,1569859544,1569888000,,1,0,38.50277,-122.71038,30,Santa Rosa,3,Our preliminary determination is that your outage was caused by scheduled maintenance work.,2,PG&E repair crew is on-site working to restore power.
1569913215:630055,630055,630055,1,2019-10-01 00:00:15-07:00,1569857390,1570057200,,1,0,38.12243,-121.83043,21,Rio Vista,3,Our preliminary determination is that your outage was caused by scheduled maintenance work.,2,PG&E repair crew is on-site working to restore power.
1569913215:630855,630855,630855,1,2019-10-01 00:00:15-07:00,1569898234,1569888000,,4,0,37.73454,-122.13937,16,Oakland,3,Our preliminary determination is that your outage was caused by scheduled maintenance work.,2,PG&E repair crew is on-site working to restore power.
1569913215:631014,631014,631014,1,2019-10-01 00:00:15-07:00,1569863082,1570138200,,1,0,39.0775,-121.52568,17,Olivehurst,3,Our preliminary determination is that your outage was caused by scheduled maintenance work.,4,PG&E is assessing the cause at the outage location.
1569913215:631074,631074,631074,1,2019-10-01 00:00:15-07:00,1569911358,1569927600,,1,0,37.29857,-121.97725,26,San Jose,1,Unknown - PG&E will be assessing the cause.,1,PG&E has assigned a crew to assess the outage.
1569913215:631133,631133,631133,1,2019-10-01 00:00:15-07:00,1569884761,1569876300,1569876300,1,0,38.17765,-121.71222,21,Rio Vista,1,Unknown - PG&E will be assessing the cause.,1,PG&E has assigned a crew to assess the outage.
1569913215:631174,631174,631174,1,2019-10-01 00:00:15-07:00,1569912583,1569920400,,30,0,37.84695,-122.21344,16,Oakland,3,Our preliminary determination is that your outage was caused by scheduled maintenance work.,2,PG&E repair crew is on-site working to restore power.
1569913215:631354,631354,631354,1,2019-10-01 00:00:15-07:00,1569906909,1569927600,,1,0,35.30441,-120.77233,28,San Luis Obispo,1,Unknown - PG&E will be assessing the cause.,1,PG&E has assigned a crew to assess the outage.
1569913215:631639,631639,631639,1,2019-10-01 00:00:15-07:00,1569882840,1569931200,,7,1,35.35389,-118.95864,2,Bakersfield,2,Our preliminary determination is that your outage was caused by an equipment issue.,2,PG&E repair crew is on-site working to restore power.
1569913215:631794,631794,631794,1,2019-10-01 00:00:15-07:00,1569908932,1569943800,,1,0,36.37987,-119.92783,22,Riverdale,2,Our preliminary determination is that your outage was caused by an equipment issue.,2,PG&E repair crew is on-site working to restore power.
